feature,ks_stat,ks_pval,mw_pval,cohens_d,SCZ_mean,Non SCZ_mean,SCZ_std,Non SCZ_std,-log10_ks_p
rh_frontalpole_MK,0.8651872399445215,7.11979236809867e-33,3.385374250348212e-27,2.936292758962526,0.45859768892742514,0.9197747913714194,0.1510026761990813,0.16289417627211145,32.14753267134964
lh_transversetemporal_MD,0.8611650485436894,1.0320840095270595e-32,4.14329586633754e-27,2.796476656780187,0.7550271014577697,1.0855339253573761,0.12502869462679167,0.11092383935424535,31.986284950587596
lh_rostralmiddlefrontal_MK,0.8560332871012483,3.6955643600712774e-32,8.378411766780175e-27,2.735196040036487,0.9141374817619085,1.1174713940866579,0.07731144310179955,0.07124430464353045,31.432319229867538
rh_rostralmiddlefrontal_MK,0.8560332871012483,3.6955643600712774e-32,7.21473501461357e-26,2.7890679833960395,0.9144194293612015,1.1303854652763121,0.07681854211971904,0.07804271605754601,31.432319229867538
rh_frontalpole_MD,0.8463245492371706,3.07335055453808e-31,4.2625230925719327e-26,2.6942230998483834,0.4760501288848209,0.9098760962155544,0.15562433363026895,0.16624218736239002,30.51238790013461
rh_transversetemporal_MD,0.8452149791955618,5.518618296707205e-31,4.7054467866447584e-26,2.7892113886755614,0.7570116896071826,1.0902129855109184,0.12321467129459415,0.11558498314979362,30.25816964350795
lh_cuneus_MD,0.8371705963938973,1.6452509341909094e-30,1.2182030833647515e-25,2.65427929377499,0.6594799930563969,0.951112352871829,0.11109151323730708,0.10863985374116279,29.78376785393089
lh_precuneus_MD,0.8371705963938973,1.6452509341909094e-30,2.493502870285603e-25,2.6036392829424746,0.8481193676900698,1.0619100451084205,0.08472672441131024,0.07941174397696693,29.78376785393089
lh_precuneus_MK,0.8366158113730929,2.3981092987217898e-30,1.8015748966387833e-25,2.6574353090100544,0.8497106037530715,1.065386047289426,0.08050383878337274,0.08180940084152206,29.620131026929407
lh_paracentral_MK,0.8366158113730929,2.3981092987217898e-30,3.383319167108444e-26,2.852118537761597,0.9361928620956297,1.142869144516507,0.07538360326811293,0.06942198509296403,29.620131026929407
lh_medialorbitofrontal_MD,0.8320388349514564,5.265897623594407e-30,4.7054467866447584e-26,2.589612487914986,0.8496201175923261,1.0893435565530385,0.09779358076488928,0.08703594596575695,29.27852758843926
lh_lateraloccipital_MK,0.830374479889043,1.0352586522558479e-29,4.86268038752609e-26,2.6710086278234404,0.9299591804508265,1.132996067378789,0.083228799088988,0.06804076982763418,28.984951131160027
rh_medialorbitofrontal_MK,0.8274618585298197,1.1947150258667327e-29,1.343564267040693e-25,2.6983356728245464,0.7944654666349142,1.0946923447314831,0.1125306221857216,0.10998223513586683,28.922735674174323
lh_MeanThickness_MD,0.8228848821081831,2.835877225399439e-29,2.8585914426755505e-24,2.378776440619959,0.9177659570398271,1.1001633546321137,0.0768960408507274,0.0764572949101927,28.547312575141206
lh_inferiorparietal_MD,0.8223300970873786,3.7881168156926913e-29,1.9227232349019648e-25,2.4921689266536897,0.884815449394239,1.089551669079551,0.08188585952595635,0.0824169275107877,28.421576636947407
rh_rostralmiddlefrontal_MD,0.8217753120665742,5.562246418158473e-29,3.9240874126190475e-25,2.607325828981442,0.9159546720594943,1.127319022292263,0.0795024769578897,0.08259908537902011,28.254749774969184
lh_MeanThickness_MK,0.8171983356449376,1.2145155825262232e-28,3.797830537014212e-25,2.6208117631498853,0.9228872104922893,1.1124559302448764,0.07013043299129217,0.07446862993388388,27.915596908720737
lh_rostralmiddlefrontal_MD,0.8085991678224688,4.446116493008212e-28,4.052976958094115e-25,2.4019039008421954,0.918653276532108,1.1131005888893344,0.08435671615069658,0.0774049601407573,27.352019162507958
lh_paracentral_MD,0.8080443828016644,5.508174908156075e-28,4.919267503541202e-25,2.631459296565747,0.934831995273791,1.1381235835614423,0.08013169524586013,0.07426553795398005,27.258992277485383
rh_medialorbitofrontal_MD,0.8074895977808599,7.924959321357178e-28,3.349747283868937e-24,2.4547652694381554,0.7919821964590524,1.0867934262594134,0.11925136633916296,0.12093776068952075,27.101002958328564
lh_insula_MK,0.8023578363384188,2.2611956568433416e-27,4.7850878419881856e-23,2.237978292732942,0.9707629795028704,1.1602334849785028,0.08136501167043271,0.08783427493658393,26.64566185737554
rh_lateraloccipital_MK,0.7977808599167823,4.900305259918636e-27,9.189231799674878e-24,2.248912088098592,0.9407494065234657,1.1370690322709234,0.08709322816539844,0.08749705629654651,26.30977686516151
lh_insula_MD,0.7783633841886269,1.6133798644820565e-25,7.596367257326638e-23,2.197152489713511,0.9573304765956588,1.1570349019165729,0.08838787256103747,0.09332970862514578,24.792263367498983
lh_parsopercularis_MD,0.7778085991678225,1.8424082584323541e-25,4.361497525883841e-23,2.28342019084799,0.8831940172605475,1.100586390863134,0.10279119180086789,0.08695888256211995,24.734614128352792
rh_paracentral_MK,0.7732316227461858,4.059122923945621e-25,8.329867413176091e-23,2.222394522733784,0.944609177629817,1.1188867829958355,0.08502858793948327,0.07119809586217499,24.39156779658049
lh_lateraloccipital_MD,0.7680998613037447,9.63939721016432e-25,2.3625679749326425e-24,2.4138591369521705,0.9304748719318466,1.1225320030661927,0.08734400395212173,0.07093656518365664,24.015950123408842
lh_parsopercularis_MK,0.7486823855755894,2.3506269944407707e-23,8.905271169747704e-24,2.3689580753571033,0.8884498100388061,1.1040194911953083,0.09637493532676222,0.08528203905639015,22.62881628074674
rh_parsopercularis_MK,0.7452149791955617,3.518903953161362e-23,6.926866128914456e-23,2.249715651465756,0.9074628890620151,1.10679380428665,0.09236907341662104,0.08466898233641,22.45359258686793
rh_paracentral_MD,0.7441054091539528,4.991783886893186e-23,6.778917203812915e-22,2.0916181384070662,0.9446173141418814,1.1143953085875087,0.08860839772083419,0.07297875880640319,22.301744225160856
rh_lateraloccipital_MD,0.7206657420249654,1.8359787820555296e-21,1.8184721513077987e-21,1.994003475444541,0.9431390122799637,1.1306320250623534,0.09174865193756115,0.09625422337504985,20.736132342137743
lh_frontalpole_MK,0.6961165048543689,7.085502218087474e-20,1.5669790473290154e-21,2.02491340439406,0.6126071693504928,0.9633280220642989,0.16951856630654966,0.17681045661644104,19.149629361674233
lh_posteriorcingulate_MK,0.6920943134535368,1.1539094677274418e-19,1.476308177219819e-21,2.074641779981367,0.9405551872287539,1.121145448163024,0.08929305746550564,0.0847403605123445,18.937828263284914
