feature,ks_stat,ks_pval,mw_pval,cohens_d,Patient_mean,Control_mean,Patient_std,Control_std,-log10_ks_p
lh_middletemporal_MK,0.6971711172871469,1.2334169584708302e-71,7.743764614847238e-61,1.7586556142462475,0.9682483682274519,1.4054166651119764,0.14334168339871134,0.3209955558569081,70.90889008467599
rh_fusiform_MD,0.694936120298845,3.909193876631962e-71,3.0544533378399674e-69,1.9885041573517186,1.0460299249553218,1.3785040738818797,0.13548624228608008,0.19378828187647068,70.40791279018083
lh_caudalanteriorcingulate_MD,0.6948304466823768,4.403324256562775e-71,8.08185537392883e-69,1.9837629314025127,1.039121544358697,1.3803542696773536,0.13687829325624978,0.20109991882638173,70.35621933233499
rh_fusiform_MK,0.6923841024611386,1.6609699643102068e-70,1.3402776454231783e-71,2.0626965873872423,1.0477253991700717,1.3785953811440563,0.13217019208324246,0.18436795768424627,69.77963822092144
lh_bankssts_MD,0.6917659118047997,2.327605581898627e-70,6.727129067229578e-62,1.7987444188301427,0.9994447602345572,1.3916354973131762,0.13967228290070188,0.2749016224495086,69.63309060998316
rh_precentral_MK,0.6887542137354566,1.1156101987772775e-69,3.3929971243098634e-67,1.9477345958779155,1.073168174042195,1.359159713552597,0.11383578237154754,0.17366986450838814,68.95248752411875
rh_supramarginal_MD,0.6881360230791178,1.5717838493276798e-69,3.486919676222026e-67,1.92561141619907,0.9792702076427086,1.4037544712841266,0.1485841227710877,0.27406474177350976,68.80360717807946
lh_middletemporal_MD,0.6853145375194175,7.04548450483164e-69,3.761410465381102e-58,1.6916935688601025,0.9631297331886576,1.403725887537234,0.1466856664385443,0.33785851006747875,68.15208913590598
lh_precentral_MK,0.6756084158468155,1.1164432537318108e-66,4.868968671982742e-67,1.9180491526715735,1.0919978086026843,1.363193609829724,0.1073328081067901,0.16870912073562508,65.9521633462311
rh_precentral_MD,0.6753917849330557,1.1505969032356885e-66,2.8200993465594564e-65,1.8711434274695324,1.0746145925210109,1.3588169997758588,0.11864701794173985,0.17905926795559565,65.93907679918716
rh_middletemporal_MD,0.6740497300039099,2.447181799112579e-66,4.2631722335171356e-60,1.7639084998275085,0.95002316313355,1.4094975553075442,0.17179460212064057,0.32587278516042956,65.61133376607175
lh_precentral_MD,0.6618972641100697,1.1377234630386607e-63,5.423312670661291e-65,1.8538333094874393,1.0939194795631089,1.3637781266517788,0.11085509526580423,0.17346810315891253,62.94396328545486
rh_lingual_MK,0.6537498282803732,6.002472312982642e-62,7.2171015798629935e-59,1.6985622040659831,1.084441299402482,1.3583868768735932,0.1150592280876381,0.19693757214233723,61.22166983449402
rh_middletemporal_MK,0.6533482685377942,7.542331156494797e-62,5.949647694469458e-60,1.7492556164499,0.9734918798570702,1.4070178186745075,0.16128281910088704,0.3111780167362924,61.12249440321109
lh_entorhinal_MK,0.6501463579588084,3.327740389844607e-61,8.839974264598365e-64,1.84132517163843,0.9991057851808078,1.4116351543265857,0.21572034468093343,0.23206040134420147,60.477850562085564
lh_parsorbitalis_MD,0.6497447982162293,4.3707280229219785e-61,1.4377818213784537e-59,1.7394079767079655,1.065199649575083,1.3768626358104308,0.15070354256000565,0.2037098015286308,60.35944621749094
rh_caudalanteriorcingulate_MD,0.6479430630554469,1.0233519244235264e-60,1.9270360719894646e-61,1.7626685084408442,1.0588944141452095,1.3827712276009378,0.14837036612228127,0.21332772888988014,59.98997498940416
lh_parsorbitalis_MK,0.6455759740465598,2.991700402555411e-60,5.277580805351811e-62,1.7906954773229016,1.0713901239657255,1.377565290863855,0.1419708055080584,0.19573807943449906,59.524081900122994
lh_entorhinal_MD,0.6435047711637836,8.175942083369351e-60,1.7113071387894565e-63,1.8223501351922156,0.998439656208667,1.40903771027917,0.21240454824787935,0.23751978646322108,59.08746219364799
rh_caudalanteriorcingulate_MK,0.6424850207648657,1.3485056063035884e-59,2.612042549336321e-65,1.8720146428697813,1.0452322772226115,1.3830535878037369,0.1487241214269743,0.2073928964050467,58.87014724366296
rh_entorhinal_MD,0.634876520379157,4.793403476681387e-58,4.406324906897726e-60,1.7520822278360775,0.9437645541554506,1.4024523163607137,0.26327426003455606,0.2603089357571717,57.31935601346151
rh_lingual_MD,0.6290433367501136,7.399786347046792e-57,1.8405414975631567e-55,1.6035540741496725,1.087964930226627,1.3594032363338149,0.12237902053012654,0.20574262813851085,56.13078081940931
lh_inferiortemporal_MK,0.6196859380118566,4.837019891950681e-55,3.4348456376597633e-54,1.603317151376941,1.070329138685965,1.376670506842814,0.12935032113040648,0.2372379981587363,54.31542212659818
rh_entorhinal_MK,0.6166478215383965,1.877263303654096e-54,8.994440567144109e-61,1.7770245652999697,0.954041777074553,1.4001036554973483,0.24824752871933758,0.25375458081125996,53.72647480926238
lh_superiorfrontal_MK,0.6158447020532384,2.773649281409783e-54,3.0899725134717624e-53,1.5711478749414358,1.1568456111574505,1.3463748386874188,0.09189879496540082,0.1437300069647224,53.55694845486255
lh_rostralanteriorcingulate_MK,0.6154114402257188,3.284394077765535e-54,3.8206490886593958e-59,1.715086228393695,1.0860665559754203,1.361420952572015,0.14192936397670497,0.1772220376737696,53.4835447396369
rh_bankssts_MK,0.6119981824137968,1.5665607618546882e-53,4.1257134899396833e-53,1.5933262441176785,1.047685151166516,1.3604282390982188,0.14495536189248107,0.23673210583049406,52.80505275556911
rh_parsorbitalis_MK,0.6030159250140018,7.472599170305498e-52,5.2412548874015734e-58,1.6815338782486866,1.0855018893624901,1.371433031448305,0.15312563907389212,0.1854211542541105,51.12652831264457
rh_bankssts_MD,0.5982606122729338,6.004730172847198e-51,6.307374865047548e-52,1.5612418684498335,1.0381579496658007,1.3622911094086123,0.15748156644112468,0.24780106407555735,50.22150650317804
lh_inferiortemporal_MD,0.5965117139203855,1.2260655474256689e-50,1.2592698969912725e-50,1.5114777345153496,1.0734505048240806,1.3770085356658226,0.13594956291780577,0.24937386271614945,49.91148631111914
lh_superiorfrontal_MD,0.5952489142035908,2.1561346966210953e-50,3.359471159120604e-51,1.5264877098503606,1.1565266301292487,1.3469063893377633,0.09546509441818685,0.14830824182863042,49.6663241116801
lh_rostralanteriorcingulate_MD,0.5879891367522271,4.385081103037926e-49,7.276216861085488e-56,1.6305577127729243,1.0866448540586466,1.3606174434065998,0.1512967726195312,0.18323022925087296,48.35802236985185
rh_parsorbitalis_MD,0.5852204880007609,1.410491974080815e-48,3.478994954308882e-55,1.6108741342022121,1.0910439820510351,1.3678371294822422,0.14938545825022692,0.19166024928512304,47.85062938070488
rh_rostralanteriorcingulate_MK,0.5701355792499286,6.1575609674875036e-46,4.718240984001776e-49,1.4786146871943318,1.136778213101287,1.3453056701224653,0.13137691489728476,0.15006141464847364,45.21059127941378
